p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.1208808410409e-06	0.792497164313944	0.069	0.042	0.0586070213139071	7	Siva1
3.23986936642041e-06	0.633373052848948	0.08	0.05	0.0608415068320089	7	Plscr1
3.27257321772441e-06	0.373070241740439	0.173	0.125	0.0614556524556466	7	Hacd2
3.3429108588288e-06	0.439024196196484	0.137	0.095	0.062776523017946	7	Tmem29
3.37592912679213e-06	0.519586073562477	0.103	0.068	0.0633965730720294	7	Cldn12
3.3909281391226e-06	1.77986032211757	0.018	0.006	0.0636782395245834	7	Mocos
3.43909674598038e-06	0.553023611705926	0.113	0.076	0.0645827977927656	7	Selenoh
3.45081115695816e-06	0.704328368984693	0.06	0.035	0.0648027827165173	7	Ppm1l
3.5072366617744e-06	0.7137472429865	0.103	0.068	0.0658623972714614	7	G6pc3
3.56077511275044e-06	0.281389121884979	0.249	0.192	0.0668677958423405	7	Myl12b
3.57043680568146e-06	0.52914780758973	0.134	0.094	0.0670492327738921	7	P3h2
3.57160387632388e-06	1.71110237621895	0.01	0.003	0.0670711491934862	7	Nupr1
3.58386769535812e-06	0.476924588049122	0.128	0.089	0.0673014514511301	7	Pqlc1
3.61596046183365e-06	0.313110027801525	0.24	0.184	0.0679041215127742	7	Gm27216
3.63600212328542e-06	0.443085775813944	0.121	0.083	0.0682804838731769	7	Mrps6
3.70993496949035e-06	1.19640089605889	0.02	0.008	0.0696688687920593	7	Ankrd42
3.86086782947867e-06	1.59622716566593	0.011	0.003	0.07250323696978	7	Cfap65
3.90588964419512e-06	1.36805259279803	0.012	0.004	0.0733487016283402	7	Pfkfb3
4.04918145863642e-06	0.324161162440944	0.181	0.133	0.0760395786117333	7	Insig2
4.18694327851675e-06	0.515215434574817	0.078	0.048	0.0786266078272661	7	Ngef
4.24175056321875e-06	0.282190362762	0.337	0.271	0.079655833826685	7	Map3k7cl
4.32104792936558e-06	0.625347036144407	0.062	0.036	0.0811449590655563	7	Ctps
4.41412612608484e-06	0.350982127927236	0.227	0.174	0.0828928745217473	7	Rab1b
4.44114794377615e-06	0.300849161538848	0.264	0.207	0.0834003172361723	7	Cd302
4.45743545449755e-06	0.416833578702144	0.121	0.083	0.0837061804000096	7	Fgfr3
4.48048723924912e-06	0.483757677351241	0.091	0.058	0.0841390698658591	7	Ndst1
4.64611679986103e-06	0.385817924161707	0.105	0.069	0.0872494273845903	7	Ndufaf2
4.72134989174948e-06	1.07222537689559	0.025	0.011	0.0886622296171635	7	2610524H06Rik
4.79012850187959e-06	0.484522088964409	0.072	0.044	0.0899538231367968	7	Epas1
5.04669086156932e-06	0.942194932135135	0.039	0.02	0.0947718076894103	7	Prkra
5.12686555142358e-06	0.677191291817747	0.023	0.009	0.0962774081901834	7	Rnf122
5.17013937283462e-06	0.690615497191339	0.066	0.039	0.0970900472824613	7	1810030O07Rik
5.18804349945919e-06	0.423718780798028	0.126	0.087	0.0974262688763441	7	Cdipt
5.31580287676477e-06	0.352916836438453	0.28	0.223	0.0998254622227657	7	Dnajb6
5.33701718782798e-06	0.397510420705022	0.119	0.08	0.100223845770222	7	Hmgn5
5.6423840128982e-06	0.768578093362159	0.026	0.011	0.105958329378215	7	Spata33
5.72268574001733e-06	0.557523108336923	0.076	0.047	0.107466315511785	7	Fitm2
5.87085134585174e-06	0.301780796343264	0.119	0.081	0.11024871742375	7	Man2a1
6.16491420605747e-06	0.280687393150755	0.328	0.265	0.115770923875553	7	2610001J05Rik
6.30828960469605e-06	0.393689261743896	0.182	0.135	0.118463370486587	7	Card19
