p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
8.69608002879239e-270	12.2099509421147	0.017	0	1.63303686860692e-265	12	Scn7a
0	12.0698934510349	0.107	0	0	12	4631405J19Rik
0	12.0385769162844	0.055	0	0	12	AC167229.1
0	11.9833401625588	0.045	0	0	12	Ackr2
0	11.8350120477765	0.024	0	0	12	Fam181b
0	11.7300733046939	0.024	0	0	12	E130006D01Rik
5.43338546677864e-203	11.2990539226121	0.013	0	1.02033545680636e-198	12	Tro
5.37448835155113e-274	11.3436432044717	0.016	0	1.00927516753779e-269	13	Vsig1
1.01155409616654e-213	8.9013236837379	0.016	0	1.89959743719115e-209	13	Sult2a3
0	8.66538438853123	0.713	0.005	0	13	Slc26a4
0	8.61746548090411	0.046	0	0	13	Tldc2
0	8.59062710766335	0.562	0.002	0	13	Insrr
2.66612942156834e-189	8.46284143601995	0.013	0	5.00672444076319e-185	13	Twist1
0	8.40984217620854	0.068	0	0	13	Ntrk1
0	8.30549038447753	0.203	0	0	13	Lsamp
0	8.28464868119473	0.2	0.001	0	13	4930469K13Rik
0	8.18402114177498	0.729	0.006	0	13	Hmx2
0	9.68369770921136	0.051	0	0	14	Gm5662
6.42658275647097e-184	9.51426790544497	0.012	0	1.20684797583768e-179	14	Rad51ap2
0	8.62790884989754	0.063	0	0	14	2010005H15Rik
0	8.56153306702763	0.4	0.001	0	14	Methig1
3.01752345675382e-281	8.55364015556461	0.018	0	5.66660729943801e-277	14	Gm2016
0	8.05282545240805	0.03	0	0	14	2310008N11Rik
0	7.9653010352659	0.546	0.003	0	14	Mettl7a2
0	7.82406501913085	0.305	0.002	0	14	Bcat1
0	7.79159814855265	0.479	0.002	0	14	Serpina1f
0	7.74317835043188	0.046	0	0	14	Gm33472
0	10.7460101682609	0.021	0	0	15	Grem2
3.54819711628822e-291	9.49626312504423	0.02	0	6.66315936467765e-287	15	Gabrg1
0	9.02566386069427	0.089	0	0	15	Spock3
5.67691429301823e-138	9.01333151688912	0.01	0	1.06606773508589e-133	15	Ajap1
0	8.7870620493623	0.061	0	0	15	Mgat4c
0	8.54892846940157	0.12	0.001	0	15	Aqp4
0	8.42301998303401	0.895	0.016	0	15	Aqp2
0	8.19931807923937	0.046	0	0	15	Elf5
0	8.17394225116526	0.066	0	0	15	Npy6r
0	8.12691864213906	0.172	0.001	0	15	Col26a1
0	9.37122817912191	0.836	0.003	0	16	Slc4a1
0	8.99686541420294	0.863	0.005	0	16	Aqp6
0	8.96967649889031	0.45	0.001	0	16	Dmrt2
0	8.66113471550652	0.453	0.001	0	16	2610016A17Rik
