cell_type	cluster	score	n_markers_used
Treg	g23	0.245419892929611	1
Treg	g24	0	1
Treg	g25	0.317406906028192	1
Treg	g26	0.208187676738744	1
TH17	g0	0.0651839210276702	2
TH17	g1	0.106097209886043	2
TH17	g2	0.0496054493834182	2
TH17	g3	0.278414801146286	2
TH17	g4	0.144705540747908	2
TH17	g5	0.0385894079993243	2
TH17	g6	0.0197284945403015	2
TH17	g7	0.00888621949661028	2
TH17	g8	0.498607037366422	2
TH17	g9	0.00474984742860098	2
TH17	g10	0.0176814777229572	2
TH17	g11	0.175128379727032	2
TH17	g12	0.152501786858536	2
TH17	g13	0.0124119982372972	2
TH17	g14	2.37740533550033	2
TH17	g15	0.0777446454980407	2
TH17	g16	0.149672353086562	2
TH17	g17	0.194893549261706	2
TH17	g18	0.116891904685843	2
TH17	g19	0.0193015066408422	2
TH17	g20	0.066915011409015	2
TH17	g21	0.0629661574807876	2
TH17	g22	0.936381122288612	2
TH17	g23	0.0170958416185339	2
TH17	g24	0	2
TH17	g25	0	2
TH17	g26	0.0739799401182857	2
Cd8_eff	g0	0.022171649307092	2
Cd8_eff	g1	3.94455042115276	2
Cd8_eff	g2	0.058244966949354	2
Cd8_eff	g3	0.114729850738978	2
Cd8_eff	g4	0.0423711702953044	2
Cd8_eff	g5	13.8292522699252	2
Cd8_eff	g6	0.283703425012807	2
Cd8_eff	g7	0.609084000666627	2
Cd8_eff	g8	0.0491309974806606	2
Cd8_eff	g9	149.710975113248	2
Cd8_eff	g10	180.497483203033	2
Cd8_eff	g11	0.157374293143341	2
Cd8_eff	g12	0.188240560568364	2
Cd8_eff	g13	0.188834760387445	2
Cd8_eff	g14	1.63798269777437	2
Cd8_eff	g15	0.127235959990975	2
Cd8_eff	g16	0.429424224877055	2
Cd8_eff	g17	1.3598930670691	2
Cd8_eff	g18	34.5837800417536	2
Cd8_eff	g19	1.16468861770316	2
Cd8_eff	g20	0.06906481902097	2
Cd8_eff	g21	16.7058771788282	2
Cd8_eff	g22	1.16347748534827	2
Cd8_eff	g23	0.32070145843604	2
Cd8_eff	g24	0.0844785848262603	2
Cd8_eff	g25	2.393276638066	2
Cd8_eff	g26	0.248771825249471	2
CD8_T	g0	0.00149751543797011	2
CD8_T	g1	1.50710665748679	2
CD8_T	g2	0.0070579046073444	2
CD8_T	g3	0.00492176963269549	2
CD8_T	g4	0.00866208285825682	2
CD8_T	g5	0.515414058320054	2
CD8_T	g6	0.00925947470758948	2
CD8_T	g7	0.105901791579503	2
CD8_T	g8	0.00455963755314488	2
CD8_T	g9	6.65465994484393	2
CD8_T	g10	7.20289925065776	2
CD8_T	g11	0.0442621570097034	2
CD8_T	g12	0.00656279430965829	2
CD8_T	g13	0.00255547700798504	2
CD8_T	g14	0.215862952066453	2
CD8_T	g15	0.00899929625503286	2
CD8_T	g16	0.00943292309418621	2
CD8_T	g17	0.0578469707602224	2
CD8_T	g18	1.05296238377906	2
CD8_T	g19	1.9021381180926	2
CD8_T	g20	0	2
CD8_T	g21	0.812357219209185	2
CD8_T	g22	0.0765236532744478	2
CD8_T	g23	0.155669981144453	2
CD8_T	g24	0.0070111084001492	2
CD8_T	g25	23.3625823872028	2
CD8_T	g26	1.58416360753002	2
NK	g0	0.0428777719865734	3
NK	g1	0.296359532280684	3
NK	g2	0.0522475760079172	3
NK	g3	0.027628893711648	3
NK	g4	0.0150840880358143	3
NK	g5	1.01764495836855	3
NK	g6	0.0556876715767753	3
NK	g7	11.3657833521467	3
NK	g8	0.0115546831914173	3
NK	g9	0.682632713820213	3
NK	g10	10.0358692891979	3
NK	g11	0.0213381496034226	3
NK	g12	0.0187407259043608	3
NK	g13	0.0446192426356591	3
NK	g14	0.158570565885917	3
NK	g15	0.00573163861415463	3
NK	g16	0.0119642851308352	3
NK	g17	0.0400012138895452	3
NK	g18	0.379225507382364	3
NK	g19	9.43644522099481	3
NK	g20	0	3
NK	g21	0.783817813129005	3
NK	g22	1.03691512977807	3
NK	g23	6.3023846641426	3
NK	g24	0.0188589220617328	3
NK	g25	11.3091147074867	3
NK	g26	4.78302555256915	3
